@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2020/12/08 13:38:08:726',1,0.092857,0.106667,1
2,'2020/12/08 13:38:08:744',1,0.092857,0.106667,1
3,'2020/12/08 13:38:08:763',1,0.092857,0.106667,1
4,'2020/12/08 13:38:08:784',1,0.092857,0.106667,1
5,'2020/12/08 13:38:08:803',1,0.092857,0.106667,1
6,'2020/12/08 13:38:08:823',1,0.092857,0.106667,1
7,'2020/12/08 13:38:08:844',1,0.092857,0.106667,1
8,'2020/12/08 13:38:08:864',1,0.092857,0.106667,1
9,'2020/12/08 13:38:08:884',1,0.092857,0.106667,1
10,'2020/12/08 13:38:08:903',1,0.092857,0.106667,1
11,'2020/12/08 13:38:08:923',1,0.092857,0.106667,1
12,'2020/12/08 13:38:08:943',1,0.092857,0.106667,1
13,'2020/12/08 13:38:08:963',1,0.091667,0.117143,1
14,'2020/12/08 13:38:08:984',1,0.091071,0.127619,1
15,'2020/12/08 13:38:09:004',1,0.090476,0.147619,1
16,'2020/12/08 13:38:09:023',1,0.093452,0.185714,1
17,'2020/12/08 13:38:09:043',1,0.102381,0.207619,1
18,'2020/12/08 13:38:09:065',1,0.121429,0.232381,1
19,'2020/12/08 13:38:09:084',1,0.135119,0.24,1
20,'2020/12/08 13:38:09:104',1,0.155952,0.235238,1
21,'2020/12/08 13:38:09:123',1,0.170833,0.21619,1
22,'2020/12/08 13:38:09:143',1,0.182738,0.189524,1
23,'2020/12/08 13:38:09:163',1,0.188095,0.171429,1
24,'2020/12/08 13:38:09:184',1,0.191667,0.145714,1
25,'2020/12/08 13:38:09:203',1,0.186905,0.14,1
26,'2020/12/08 13:38:09:223',1,0.167262,0.138095,1
27,'2020/12/08 13:38:09:243',1,0.147024,0.138095,1
